date,return
2022/7/11,0.00377304
2022/7/12,-0.012907851
2022/7/13,-0.014369881
2022/7/14,0.013704659
2022/7/15,0.006184381
2022/7/18,-0.012792975
2022/7/19,-0.052486786
2022/7/20,-0.012989089
2022/7/21,-0.015714438
2022/7/22,0.008651184
2022/7/25,0.002261154
2022/7/26,-0.003578583
2022/7/27,0.00811987
2022/7/28,0.00077452
2022/7/29,0.01214976
